Biblioteca Studium	
Biblioteka malych partytur	
Biblioteka Malych Partytur	Biblioteka malych partytur
Bibliotèque des Théatres	Bibliotèque des Théâtres
Bibliotheca Musica Bononiensis	
Bibliotheca Musica Bononiensis IV, 102	Bibliotheca Musica Bononiensis ; IV, 102
Bibliotheca Musicale Didascalica	
Bibliotheca organologica	
Bibliotheca Organologica	Bibliotheca organologica
Bibliotheca scriptorum graecorum et romanorum teubneriana	
Bibliotheek Nederlandse Muziek	
Bibliotheek voor wetenschappelijke en actueele vraagstukken	Basis-reeks : bibliotheek voor wetenschappelijke en actueele vraagstukken
Bibliotheka hrvatski glazbenici = Croatian musicians	Croatian musicians
Bibliothek älterer und neuerer Clavier-Musik	
Bibliothek der Internationalen Gustav Mahler Gesellschaft	
Bibliothèque artistique du piano	
Bibliothèque classique des pianistes	
Bibliothèque de choix	
Bibliothèque de Choix	Bibliothèque de choix
Bibliothèque de la Faculté de Philosophie et Lettres	
Bibliothèque de musique	
Bibliothèque de Philosophie scientifique	
Bibliothèque des concours : collections pour musiques d' harmonie ou fanfares : morceaux imposés dans les concours français et étrangers	Bibliothèque des concours
Bibliothèque des grands Musiciens	
Bibliothèque des Idées	
Bibliothèque des oeuvres de Tourgeniev	
Bibliothèque dramatique	
Bibliothèque dramatique : grande collection d'opéras célèbres, arrangés pour piano solo, sans paroles	Bibliothèque dramatique
Bibliothèque Leduc	
Bibliothèque Méditations	
Bibliothèque musicale	
Bibliothèque musicale ancienne et moderne	
Bibliothèque musicale du Musée Guimet : musique orientale - musique des régions lointaines	
Bibliothéque musicale universelle	Bibliothèque musicale universelle
Bibliothèque musicale universelle	
Bibliothèque populaire	
Bibliothèque populaire du pianiste	
Bibliothèque théâtrale illustrée	
Bibliothèque universelle du pianiste	
Big American Hits Series	
Bio-bibliographies in music	
Bio-Critical Sourcebooks on Musical Performance	
Biografieën in woord en beeld	
Blackwell Reference	
Blo 3	Blo ; 3
Bochumer Arbeiten zur Musikwissenschaft	
Boekman : tijdschrift voor kunst, cultuur en beleid	
Boheme Konzert-Serie	
Bollettino del Centro Rossiniano di Studi : Rossini e Michotte	
Bonds Jugend-Bücherei	
Boosey and Son's Complete Edition	
Boosey & Hawkes	
Boosey & Hawkes HPS II	Boosey & Hawkes ; HPS II
Boosey & Hawkes N°143	Boosey & Hawkes ; 143
Bosse Musik Paperback	
Bosse Musik Paperback [= BMP]	Bosse Musik Paperback
Bosworth edition	Bosworth Edition
Bosworth Edition	
Bosworth Orchestre Bijou	
Bouffes parisiens	
Bouqins	Bouquins
Bouquet de mélodies	
Bouquet de Mélodies pour piano	Bouquets de mélodies : pour piano
Bouquet Musical : Fantaisies Pour Piano	
Bouquets de mélodies pour le piano	Bouquets de mélodies : pour piano
Bouquets de mélodies : pour piano	
[Bouquin	
Bouquins	
Bourne Instrumental Solos	
Brahms Album	
Brahms, Johannes	
Brasserie, Cinéma, Concert : Collection d' Oeuvres pour piano	
Brasserue, Cinéma, Concert : Collection d'oeuvres pour piano	Brasserie, Cinéma, Concert : Collection d' Oeuvres pour piano
Brass Research Series	
Brass Total	
Brazilian Instrumental Guitar	
Breitkopf Archiv : Frühdrücke und bibliophile Ausgaben von hohem Quellenwert = Early printings and bibliophiles' editions of a high documentary value	Breitkopf Archiv : Early printings and bibliophiles' editions of a high documentary value
Breitkopf & Härtel	
Breitkopf & Härtel Orchesterbibliothek	Breitkopf & Härtels Orchesterbibliothek
Breitkopf & Härtel Orchester-Bibliothek	Breitkopf & Härtels Orchesterbibliothek
Breitkopf & Härtel Partitur-Bibliothek	Breitkopf & Härtels Partiturbibliothek
Breitkopf & Härtels Kammermusik-Bibliothek	
Breitkopf & Härtel's Klavier-Bibliothek	Breitkopf & Härtels Klavierbibliothek
Breitkopf & Härtels Orchesterbibliothek	
Breitkopf & Härtels Orchester-Bibliothek	Breitkopf & Härtels Orchesterbibliothek
Breitkopf & Härtels Orchesterbibliothek : Arien und Lieder	
Breitkopf & Härtels Partiturbibliothek	
Breitkopf & Härtels Partitur- Bibliothek	Breitkopf & Härtels Partiturbibliothek
Breitkopf & Härtels Partitur-Bibliothek	Breitkopf & Härtels Partiturbibliothek
Breitkopf & Härtels Partitur-Bibliothek : Kleinere Orchestwerke	Breitkopf & Härtels Partiturbibliothek
Breitkopf & Härtels Partitur-Bibliothek [+] Orchester-Bibliothek	Breitkopf & Härtels Partitur- [und] Orchester-Bibliothek
Breitkopf & Härtels Partitur- [und] Orchester-Bibliothek	
Breitkopf & Härtels Sammlung musikwissenschaftlicher Arbeiten von deutschen Hochschulen	
[Breitkopf und Härtels Partiturbibliothek]	
Brises des Alpes : petites fantaisies : pour le piano	
Brises d'Italie	
Broadway Choral Series	
Broadway Vocal Series	
Brochure programme de l' I. N. R.	Brochure programme de l' I. N. R
Brochure programme de l' I. N. R	
Brochures-programmes de l' I. N. R	Brochure programme de l' I. N. R
Bronnenstudie en uitgavetechniek gamba	
Bronnenstudie en uitgavetechniek hobo	
Bronnenstudie en uitgavetechniek piano	
Bronnenstudie en uitgavetechniek pianoforte	
Bronnenstudie en uitgavetechniek traverso	
Bronnenstudie en uitgavetechniek viool	
Brosse Musik Paperback	
BRT Brochure	BRT Brochures
Brt brochures	BRT Brochures
BRTN-Filharmonisch Orkest : [Programmabrochures]	
BRTN-muziekbibliotheek	
BRT Uitgave	
Brussels Royal Conservatory of Music	Brussels Royal Conservatory of Music Series
Brussels Royal Conservatory of Music Series	
Bruxelles - Musical	Bruxelles-musical
Bruxelles-Musical	Bruxelles-musical
Bücher der Weltmusik	
Bücher des Wissens	
Bühnenmusik	
Bühnenwerke	
Bühnewerke	Bühnenwerke
Bulletin	
Bulletin culturel du Nord	
Bulletin de l' Académie Royale d' Archéologie de Belgique : [1923 - 1924]	Bulletin de l' Académie Royale d' Archéologie de Belgique ; [1923 - 1924]
Bulletin de l' Académie royale de Belgique	
Bulletin de la Classe des Lettres et des Sciences Morales et Politiques et de la Classe des Beaux-Arts	
Bulletin de l'association George Onslow	
Bulletin nr 4	Bulletin ; 4
Bulletins de la Société des Compositeurs de Musique	
Bunte Reihe	
Burt Franklin Bibliographical and Reference Series	
C	
Cäcilia : Geistliche und weltliche Arien & Lieder älterer Meister	
