BAERMANN, Heinrich;;
BAERTSOEN, Jean-Claude;;
BAERVOETS, R.;BAERVOETS, Raymond;
BAERVOETS, Raymond;;
BAERWOLF, Louis;;
BAES, Edgar;;
BAES, Joseph;;
BAESENS, Famille;;
BAETEN, Herman;;
BAEUMKER, Wilhelm;;
BAEYENS, August;;
BAEYENS, H.;;
BAEYENS, Marleen;;
BAGATELLA, Antonio;;
BAGATTI, Francesco;;
BAGDASARIAN, Ross;;
BAHK, Junsang;;
BAHRO, Rudolf;;
BAIGN‘RES, Claude;;
BAILE, Elodie;;
BAILEY, Candace;;
BAILEY, Derek;;
BAILEY, Mable;;
BAILEY, Walter B.;;
BAILIE, Eleanor;;
BAILLEUX, Antoine;;
BAILLIE, Laureen;;
BAILLOT;BAILLOT, Pierre;
BAILLOT, Pierre;;
BAILLY-HERZBERG, Janine;;
BAILY, Derek;;
BAILY, Jean;;
BAINES, Antony;;
BAINES, Sydney;;
BAINI, Giuseppe;BAINI, Guiseppe;
BAINI, Guiseppe;;
BAIOCCHI, Regina A. Harris;;
BAIRD, Tadeusz;;
BAIWIR, Adolphe;;
BAJAMONTI, Julije;;
BAJO SOSA, Guzman;;
BAK, Mihail;;
BAKER, Claude;;
BAKER, David;;
BAKER, Dorothy;;
BAKER, James M.;;
BAKER, Kenny;;
BAKER, Theodore;;
BAKFARK, B†lint;;
BAKIKHANOV, Tofik;;
BAKKERS, Maria;;
BALAKAUSKAS, Osvaldas;;
BALAKIREV, Mily;;
BALASANJAN, Sergej;;
BALASHOV, A.;;
BALASSA, Gyîrgy;;
BALAY, Guillaume;;
BALBASTRE, Claude-BÇnigne;;
BALBI, Lorenzo;;
BALDVINSSON, Tryggvi M.;;
BALDWYN, John;;
BALERDI, Beatriz;;
BALESTRACCI, Sergio;;
BALEY, V.;;
BALFE;BALFE, Michael William;
BALFE, Michael William;;
BALFOORT, Bram;;
BALI, J†nos;;
BALL, Christopher;;
BALL, Eric;;
BALLABENE, Gregorio;;
BALLANTINE, Christopher;;
BALLIETT, Whitney;;
BALLIF, Claude;;
BALLINGER, Peter;;
BALLMAN, Christine;;
BALLOLA, Giovanni Carli;;
BALLU, V.;;
BALSYS, Eduardas;;
BALTAZAR, Jean-Luc;;
BALTENSPERGER, AndrÇ;;
BALTHASAR-FLORENCE, Henri;;
BALTHAZAR, Jean-Luc;;
BALTHAZAR, Willy;;
BALTHIMORE, G.;;
BALTMISKYTE, Ieva;;
BAMFORD, Anne;;
BANCHIERI, Adriano;;
BANCK, Carl;;
BANCQUART, Alain;;
BANERJI, Comolata;BANERJI, Cosmolata;
BANERJI, Cosmolata;;
BANG, Billy;;
BANGEL, Tasso;;
BANKS, Don;;
BANTER, Harald;;
BAPP, Carolus-Albertus;;
BARAT, J. Ed.;;
BARATEAU, E.;;
BARATEAU, M.r E.;BARATEAU, E.;
BARATELLO, Marino;;
Baratoux;;
BARATTO, D.;;
BARATZ, Lewis Reece;;
BARBAUD, Pierre;;
BARBEDETTE, Hippolyte;;
BARBELLA, Emanuele;;
BARBER, Samuel;;
BARBEREAU, A.;;
BARBERI, Carmelo di;;
BARBIER, Charlotte;;
BARBIER, J.;;
BARBIER, Jean;;
BARBIER, Jules;;
BARBIER, Patrick;;
BARBIER, Pierre;;
BARBIER, RenÇ;;
BARBIERI, Francisco Asenjo;;
BARBIERI, Francisco-Asenjo;BARBIERI, Francisco Asenjo;
BARBIERI, Gato;;
BARBIROLLI, John;;
BARBLAN, Otto;;
BARBOT, A.;;
BARBOT, Paul;;
BARCELLINI, Frank;;
BARDAZEWSKA, Tekla;;
BARDE, Andre;;
BARDI, Pietro de;;
BARELLI, AimÇ;;
BARENBOIM, Daniel;;
BARENDSE, Ferry;;
BARES, Alessandro;;
BARET, Louis;;
BARGIEL, Woldemar;;
BARGIELSKI, Zbigniew;;
BARJANSKY, A.;;
BARKAUSKAS, Vytautas;;
BARLET, Jules;;
BARLOW, Harold;;
BARMANN, J. F.;;
BARMAS, Issay;;
BARNES, H.;;
BARNET, Charlie;;
BARNETT, Gregory;;
BARNEWITZ, Carl;;
BARNEY, Eldon Eugäne;;
BAROFFIO, Giacomo;;
BARON, Art;;
BARON, Ernst Gottlieb;;
BARON, Eugäne;;
BARON, John H.;;
BARRADAS ROMERO, J. A.;;
BARRAINE, Alfred;;
BARRAINE, Elsa;;
BARRAQUê, Jean;;
BARRAUD, Henry;;
BARRET, Apollon Marie Roose;;
BARRET, P.R.;;
BARRETT, Gregory M.;;
BARRETT, John;;
BARRIERE, Alain;;
BARRI‘RE, Etienne-Bernard-Joseph;;
BARRI‘RE, Jean;;
BARRIOS, Augustin;;
BARRON, Barry;;
BARROSO, A.;;
BARRY, John;;
BARSANTI, Francesco;;
BART, Harry;;
BARTEL, Dietrich;;
BARTELS, Katrin;;
BARTH SCHEIBY, Benedikte;;
BARTH, Herbert;;
BARTHE, A.;;
BARTHELEMON, Mary Young;;
BARTHêLEMY SAINT-HILAIRE, M.;;
BARTHêLêMY, Maurice;;
BARTHELEMY, Yva;;
BARTHET, Armand;;
BARTHOLINUS, Casp.;;
BARTHOLOME, Maria;;
BARTHOLOMEE, Pierre;;
BARTHOLOMEW, Dave;;
BARTHY-KING Hugh;;
BART‡K, BÇla;;
BART‡K, BÇla - RESCHOFSKY, Alex;;
BART‡K, BÇlla;BART‡K, BÇla;
BARTOLI BACHERINI, Maria Adelaide;;
BARTOLI, Jean-Pierre;;
BARTOLOTTI, Angelo Michele;;
